entry,gated,funds,cumulative,series
2022-03-21,0.2044450530927613,4,9.557399675247083,O1 gate
2022-04-18,0.03256732231150956,3,9.589966997558593,O1 gate
2022-05-23,0.059034433517847006,3,9.64900143107644,O1 gate
2022-06-21,-0.06446145476466203,4,9.584539976311778,O1 gate
2022-07-18,0.12055474229730992,4,9.705094718609088,O1 gate
2022-08-22,0.16404359972215277,3,9.86913831833124,O1 gate
2022-09-19,0.1757128766425644,4,10.044851194973804,O1 gate
2022-10-24,0.09946718880801175,3,10.144318383781815,O1 gate
2022-11-21,0.21673069746150125,4,10.361049081243317,O1 gate
2022-12-19,0.10098088338018812,4,10.462029964623506,O1 gate
2023-01-23,0.10747921407095627,4,10.569509178694462,O1 gate
2023-02-21,-0.3200543542356427,3,10.24945482445882,O1 gate
2023-03-20,0.1242814202855826,3,10.373736244744402,O1 gate
2023-04-24,0.06852806335956378,3,10.442264308103965,O1 gate
2023-05-22,0.27558272881002405,3,10.717847036913989,O1 gate
2023-06-20,0.0,3,10.717847036913989,O1 gate
2023-07-24,0.2455991753255293,3,10.963446212239518,O1 gate
2023-08-21,0.29551231060091204,3,11.25895852284043,O1 gate
2023-09-18,-0.6202011966706551,3,10.638757326169776,O1 gate
2023-10-23,0.0,3,10.638757326169776,O1 gate
2023-11-20,-0.5549630331227103,3,10.083794293047065,O1 gate
2023-12-18,0.0,3,10.083794293047065,O1 gate
2024-01-22,0.2262302282439672,3,10.310024521291032,O1 gate
2024-02-20,0.05116812755703421,3,10.361192648848066,O1 gate
2024-03-18,0.14119404346084619,4,10.502386692308912,O1 gate
2024-04-22,0.06640540627778159,4,10.568792098586693,O1 gate
2024-05-20,-0.0015119731313601775,4,10.567280125455333,O1 gate
2024-06-24,0.0,4,10.567280125455333,O1 gate
2024-07-22,-0.038614218616963875,4,10.52866590683837,O1 gate
2024-08-19,0.05732876203307905,4,10.585994668871448,O1 gate
2024-09-23,0.19743273793224436,4,10.783427406803693,O1 gate
2024-10-21,0.11374383789773937,4,10.897171244701433,O1 gate
2024-11-18,0.05179948212926957,4,10.948970726830701,O1 gate
2024-12-23,-0.12449936626580188,4,10.8244713605649,O1 gate
2025-01-21,0.13166967052142045,4,10.95614103108632,O1 gate
2025-02-24,0.19346222162556748,4,11.149603252711888,O1 gate
2025-03-24,-0.9539007545840008,4,10.195702498127886,O1 gate
2025-04-21,0.0,3,10.195702498127886,O1 gate
2025-05-19,0.0,3,10.195702498127886,O1 gate
2025-06-23,0.09546862439720633,4,10.291171122525093,O1 gate
2025-07-21,0.18531471690993326,3,10.476485839435027,O1 gate
2007-06-18,0.04995243564581328,2,0.04995243564581328,O2 gate
2007-07-23,-0.44766411004040363,1,-0.3977116743945903,O2 gate
2007-08-20,0.41462804302899314,1,0.016916368634402823,O2 gate
2007-09-24,0.09728378472048609,1,0.11420015335488891,O2 gate
2007-11-19,0.06998317224297299,2,0.18418332559786188,O2 gate
2007-12-24,0.13942228177321125,1,0.32360560737107313,O2 gate
2008-03-24,0.22738283867240006,2,0.5509884460434732,O2 gate
2008-04-21,0.18097633802008717,2,0.7319647840635604,O2 gate
2008-05-19,-0.1403680306012962,2,0.5915967534622641,O2 gate
2008-06-23,-0.13814414141634215,3,0.453452612045922,O2 gate
2008-07-21,0.02184818826986551,2,0.47530080031578753,O2 gate
2008-08-18,-0.7609517317189296,2,-0.28565093140314207,O2 gate
2008-09-22,-0.18852925431359088,3,-0.4741801857167329,O2 gate
2008-10-20,-0.21127679197318402,2,-0.685456977689917,O2 gate
2008-11-24,0.21326642938559862,3,-0.4721905483043184,O2 gate
2008-12-22,0.36585099823103906,2,-0.10633955007327933,O2 gate
