sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
estimation,strip,section 3 and rule 2 floor,ALL,2015,28,0.046279853423961216,0.02897484559648188,0.030381650713473287,0.03536481157693484,0.043549956804059,0.05122700620763764,0.05944593003568327,0.06784977611766813,0.0,0.0,0.011569963355990304,0.01088748920101475,0.023139926711980608,0.0217749784020295,0.034709890067970914,0.032662467603044254,0.046279853423961216,0.043549956804059
estimation,strip,section 3 and rule 2 floor,ALL,2016,16,0.03444187127829414,0.023239814210647056,0.02430391249598283,0.02679215902735357,0.032949637033715784,0.03991607726465137,0.049115382070513774,0.05129914521119479,0.0,0.0,0.008610467819573534,0.008237409258428946,0.01722093563914707,0.016474818516857892,0.025831403458720602,0.024712227775286838,0.03444187127829414,0.032949637033715784
estimation,strip,section 3 and rule 2 floor,ALL,2017,12,0.029232594293349543,0.022098869712212817,0.023952922868790454,0.027826347422100887,0.03016214724182728,0.03126883331492118,0.03449055377055388,0.03521375132348898,0.0,0.0,0.007308148573337386,0.00754053681045682,0.014616297146674772,0.01508107362091364,0.02192444572001216,0.02262161043137046,0.029232594293349543,0.03016214724182728
estimation,strip,section 3 and rule 2 floor,ALL,2018,16,0.04574572845967928,0.029461947070250964,0.030518162875464674,0.03329244313804918,0.037597586155680124,0.0414648352067551,0.07074533572977489,0.08887219124674017,0.0,0.0,0.01143643211491982,0.009399396538920031,0.02287286422983964,0.018798793077840062,0.03430929634475946,0.028198189616760093,0.04574572845967928,0.037597586155680124
estimation,strip,section 3 and rule 2 floor,ALL,2019,21,0.0422703838204947,0.014463282396151909,0.015841594774182354,0.025066491674526185,0.034538537121917914,0.05787731000121595,0.07598276706351766,0.0762151525329514,0.0,0.0,0.010567595955123675,0.008634634280479479,0.02113519191024735,0.017269268560958957,0.03170278786537103,0.025903902841438436,0.0422703838204947,0.034538537121917914
estimation,strip,section 3 and rule 2 floor,ALL,2020,39,0.03652893805082087,0.017226749832091447,0.01798195869364704,0.022796243845778677,0.03384646670441531,0.04288821960599267,0.054170835443370806,0.06653643387959607,0.0,0.0,0.009132234512705218,0.008461616676103827,0.018264469025410436,0.016923233352207655,0.027396703538115654,0.025384850028311482,0.03652893805082087,0.03384646670441531
estimation,strip,section 3 and rule 2 floor,ALL,2021,39,0.046109166170795884,0.020457531475117308,0.021709389237944465,0.026328875500176256,0.03977840263952607,0.048167207920166405,0.07029497021931547,0.08539146961806386,0.0,0.0,0.011527291542698971,0.009944600659881517,0.023054583085397942,0.019889201319763034,0.03458187462809691,0.029833801979644553,0.046109166170795884,0.03977840263952607
estimation,strip,section 3 and rule 2 floor,ALL,ALL,395,0.044626096097246194,0.018533263086504916,0.020385055869252634,0.027038935661429935,0.03709235544972636,0.055094215824357626,0.07577911636986996,0.09512402304696778,0.0,0.0,0.011156524024311549,0.00927308886243159,0.022313048048623097,0.01854617772486318,0.03346957207293465,0.02781926658729477,0.044626096097246194,0.03709235544972636
estimation,strip,section 3 and rule 2 floor,GLD,2008,7,0.06838158785603837,0.061826835976028074,0.06236158268344562,0.06398365528557029,0.0649545245253124,0.07296067905383634,0.0764042303100048,0.07747003141476859,0.0,0.0,0.017095396964009593,0.0162386311313281,0.034190793928019186,0.0324772622626562,0.05128619089202878,0.0487158933939843,0.06838158785603837,0.0649545245253124
estimation,strip,section 3 and rule 2 floor,GLD,2009,12,0.06608240494681546,0.02903768169998386,0.03226262043224602,0.05927520108142641,0.0690363526088302,0.07465857493969712,0.07950271212473108,0.09141491337156686,0.0,0.0,0.016520601236703864,0.01725908815220755,0.03304120247340773,0.0345181763044151,0.049561803710111596,0.05177726445662265,0.06608240494681546,0.0690363526088302
