ticker,arm,entry_year,leg_days,absent_share,delta_null_share,share_opprcd_delta,share_black_scholes_own_iv,share_black_scholes_prior_iv,share_carried
UNG,strip,2023,3881,0.0,0.03890749806750837,0.9610925019324916,0.0,0.022416902860087608,0.01649059520742077
UNG,strip,2024,6486,0.0,0.06352143077397472,0.9364785692260252,0.0,0.020968239284613013,0.0425531914893617
UNG,strip,2025,3803,0.0,0.01972127267946358,0.9802787273205364,0.0,0.012621614514856692,0.007099658164606889
UNG,strip,ALL,73532,0.0,0.03168688462166132,0.9683131153783386,0.0,0.0173937877386716,0.01429309688298972
USO,straddle,2007,322,0.0,0.031055900621118012,0.968944099378882,0.0,0.024844720496894408,0.006211180124223602
USO,straddle,2008,478,0.0,0.06276150627615062,0.9372384937238494,0.0,0.03556485355648536,0.027196652719665274
USO,straddle,2009,478,0.0,0.012552301255230125,0.9874476987447699,0.0,0.008368200836820083,0.0041841004184100415
USO,straddle,2010,488,0.0,0.012295081967213115,0.9877049180327869,0.0,0.010245901639344262,0.0020491803278688526
USO,straddle,2011,478,0.0,0.014644351464435146,0.9853556485355649,0.0,0.012552301255230125,0.0020920502092050207
USO,straddle,2012,476,0.0,0.018907563025210083,0.9810924369747899,0.0,0.01680672268907563,0.0021008403361344537
USO,straddle,2013,478,0.0,0.012552301255230125,0.9874476987447699,0.0,0.012552301255230125,0.0
USO,straddle,2014,478,0.0,0.03765690376569038,0.9623430962343096,0.0,0.02510460251046025,0.012552301255230125
USO,straddle,2015,478,0.0,0.03556485355648536,0.9644351464435147,0.0,0.027196652719665274,0.008368200836820083
USO,straddle,2016,486,0.0,0.03497942386831276,0.9650205761316872,0.0,0.026748971193415638,0.00823045267489712
USO,straddle,2017,478,0.0,0.043933054393305436,0.9560669456066946,0.0,0.01882845188284519,0.02510460251046025
USO,straddle,2018,478,0.0,0.056485355648535567,0.9435146443514645,0.0,0.03347280334728033,0.02301255230125523
USO,straddle,2019,478,0.0,0.04602510460251046,0.9539748953974896,0.0,0.03347280334728033,0.012552301255230125
USO,straddle,2020,440,0.0,0.02727272727272727,0.9727272727272728,0.0,0.015909090909090907,0.011363636363636364
USO,straddle,2021,488,0.0,0.018442622950819672,0.9815573770491803,0.0,0.018442622950819672,0.0
USO,straddle,2022,476,0.0,0.008403361344537815,0.9915966386554622,0.0,0.008403361344537815,0.0
USO,straddle,2023,476,0.0,0.0273109243697479,0.9726890756302521,0.0,0.01680672268907563,0.01050420168067227
USO,straddle,2024,476,0.0,0.02100840336134454,0.9789915966386554,0.0,0.014705882352941176,0.0063025210084033615
USO,straddle,2025,274,0.0,0.04744525547445255,0.9525547445255474,0.0,0.029197080291970802,0.01824817518248175
USO,straddle,ALL,8704,0.0,0.029526654411764705,0.9704733455882353,0.0,0.02022058823529412,0.009306066176470588
USO,strip,2007,3250,0.0,0.015076923076923076,0.9849230769230769,0.0,0.010153846153846154,0.004923076923076923
USO,strip,2008,11288,0.0,0.03339829907866761,0.9666017009213324,0.0,0.02099574769666903,0.012402551381998583
USO,strip,2009,5141,0.0,0.01419957206769111,0.9858004279323089,0.0,0.0099202489787979,0.004279323088893211
USO,strip,2010,5324,0.0,0.002629601803155522,0.9973703981968445,0.0,0.002253944402704733,0.0003756574004507889
USO,strip,2011,7096,0.0,0.0071871476888387825,0.9928128523111612,0.0,0.006341600901916573,0.0008455467869222097
USO,strip,2012,8091,0.0,0.004449388209121246,0.9955506117908788,0.0,0.004325794092201211,0.00012359411692003462
USO,strip,2013,6321,0.0,0.0023730422401518746,0.9976269577598481,0.0,0.0022148394241417496,0.00015820281601012498
USO,strip,2014,6102,0.0,0.015077023926581449,0.9849229760734185,0.0,0.011143887250081941,0.003933136676499509
USO,strip,2015,5466,0.0,0.01664837175265276,0.9833516282473472,0.0,0.013721185510428101,0.0029271862422246614
USO,strip,2016,3026,0.0,0.013879709187045605,0.9861202908129544,0.0,0.011566424322538004,0.002313284864507601
USO,strip,2017,1929,0.0,0.027475375842405392,0.9725246241575947,0.0,0.01503369621565578,0.012441679626749611
USO,strip,2018,3417,0.0,0.02224173251390108,0.977758267486099,0.0,0.014925373134328358,0.0073163593795727245
USO,strip,2019,3738,0.0,0.023006955591225255,0.9769930444087748,0.0,0.0149812734082397,0.008025682182985553
USO,strip,2020,7453,0.0,0.06400107339326445,0.9359989266067356,0.0,0.01556420233463035,0.048436871058634104
USO,strip,2021,10513,0.0,0.016836297916864834,0.9831637020831352,0.0,0.010272995339103967,0.006563302577760868
USO,strip,2022,13758,0.0,0.008940252943741823,0.9910597470562582,0.0,0.007777293211222561,0.0011629597325192615
USO,strip,2023,10582,0.0,0.007654507654507654,0.9923454923454923,0.0,0.005575505575505575,0.002079002079002079
USO,strip,2024,11107,0.0,0.0044116323039524626,0.9955883676960475,0.0,0.0034212658683712973,0.000990366435581165
USO,strip,2025,7253,0.0,0.012684406452502413,0.9873155935474975,0.0,0.009099682889838687,0.0035847235626637252
USO,strip,ALL,130855,0.0,0.015696763593290284,0.9843032364067097,0.0,0.009437927476978334,0.006258836116311948
